url,beds,city,date,size,type,baths,price,neighborhood,size_min_sqft,size_max_sqft,size_mean_sqft,listing_date,listing_age_days,property_group,beds_clean,baths_clean,neighborhood_bucket,price_per_sqft,flag_extreme_price_per_sqft
https://www.99acres.com/aba-cleo-county-sector-121-noida-npxid-r2274,3,Noida,2025-02-19,Varies,"3, 4 BHK Apartment",0,23000000.0,sector 121,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
https://www.99acres.com/m3m-the-cullinan-sector-94-noida-npxid-r410631,3,Noida,2025-02-19,Varies,"3, 4, 5 BHK Apartment",0,81700000.0,Sector 94,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sarpavaram-kakinada-484-sq-ft-spid-F78756201,10,Kakinada,2025-02-19T04:38:34.048Z,484 sqft,House,6,33900000.0,Sarpavaram,484.0,484.0,484.0,2025-02-19 04:38:34.048,-1,Independent House,10.0,6.0,Other,70041.32231404958,True
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-3150-sq-ft-spid-X80181911,5,Kakinada,2025-02-19T04:38:34.048Z,3150 sqft,House,5,25000000.0,Ramanayapeta,3150.0,3150.0,3150.0,2025-02-19 04:38:34.048,-1,Independent House,5.0,5.0,Ramanayapeta,7936.507936507936,False
https://www.99acres.com/property-rates-and-price-trends-in-sector-92-noida-prffid,2,Noida,2025-02-19,sq.ft,Apartment,2,17400.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-144-noida-prffid,3,Noida,2025-02-19,sq.ft,Apartment,2,13500.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-75-noida-prffid,3,Noida,2025-02-19,sq.ft,Apartment,2,13400.0,Central Noida,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Other,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-151-noida-prffid,2,Noida,2025-02-19,sq.ft,Apartment,2,7250.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-143b-noida-prffid,2,Noida,2025-02-19,sq.ft,Apartment,2,12500.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-107-noida-prffid,3,Noida,2025-02-19,sq.ft,Apartment,2,14800.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-79-noida-prffid,3,Noida,2025-02-19,sq.ft,Apartment,2,13250.0,Central Noida,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Other,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-133-noida-prffid,2,Noida,2025-02-19,sq.ft,Apartment,2,8250.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-152-noida-prffid,2,Noida,2025-02-19,sq.ft,Apartment,2,11250.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/property-rates-and-price-trends-in-sector-108-noida-prffid,3,Noida,2025-02-19,sq.ft,Apartment,2,15200.0,Noida Greater Noida Expressway,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Noida Greater Noida Expressway,,True
https://www.99acres.com/dlf-parc-estate-siruseri-chennai-south-npxid-r385441,0,Chennai,2025-02-19,0 sq.ft.,Land,0,7600000.0,Siruseri,,,,2025-02-19 00:00:00.000,0,Plot,,,Other,,True
